value_date,report_title,table_title,index_name,column_value,report_date,value_unit,column_name
,亚洲PX市场日报（1.6）,1,基准价,742.17-743.17*,2016-01-07 08:04:00,,FOB韩国
,亚洲PX市场日报（1.6）,1,基准价,763.17-764.17*,2016-01-07 08:04:00,,CFR台湾/中国
,亚洲PX市场日报（1.6）,2,一月下,741.00-743.00,2016-01-07 08:04:00,,FOB韩国
,亚洲PX市场日报（1.6）,2,一月下,762.00-764.00,2016-01-07 08:04:00,,CFR台湾/中国
,亚洲PX市场日报（1.6）,3,二月上,741.00-743.00,2016-01-07 08:04:00,,FOB韩国
,亚洲PX市场日报（1.6）,3,二月上,762.00-764.00,2016-01-07 08:04:00,,CFR台湾/中国
,亚洲PX市场日报（1.6）,4,二月下,741.00-743.00,2016-01-07 08:04:00,,FOB韩国
,亚洲PX市场日报（1.6）,4,二月下,762.00-764.00,2016-01-07 08:04:00,,CFR台湾/中国
,亚洲PX市场日报（1.6）,5,三月上,743.00-745.00,2016-01-07 08:04:00,,FOB韩国
,亚洲PX市场日报（1.6）,5,三月上,764.00-766.00*,2016-01-07 08:04:00,,CFR台湾/中国
,亚洲PX市场日报（1.11）,1,基准价,709.17-710.17*,2016-01-12 08:22:00,,FOB韩国
,亚洲PX市场日报（1.11）,1,基准价,730.17-731.17*,2016-01-12 08:22:00,,CFR台湾/中国
,亚洲PX市场日报（1.11）,2,一月下,708.00-710.00,2016-01-12 08:22:00,,FOB韩国
,亚洲PX市场日报（1.11）,2,一月下,729.00-731.00,2016-01-12 08:22:00,,CFR台湾/中国
,亚洲PX市场日报（1.11）,3,二月上,708.00-710.00,2016-01-12 08:22:00,,FOB韩国
,亚洲PX市场日报（1.11）,3,二月上,729.00-731.00,2016-01-12 08:22:00,,CFR台湾/中国
,亚洲PX市场日报（1.11）,4,二月下,708.00-710.00,2016-01-12 08:22:00,,FOB韩国
,亚洲PX市场日报（1.11）,4,二月下,729.00-731.00,2016-01-12 08:22:00,,CFR台湾/中国
,亚洲PX市场日报（1.11）,5,三月上,708.00-710.00,2016-01-12 08:22:00,,FOB韩国
,亚洲PX市场日报（1.11）,5,三月上,729.00-731.00*,2016-01-12 08:22:00,,CFR台湾/中国
,亚洲PX市场日报（1.12）,1,基准价,690.17-691.17*,2016-01-13 08:18:00,,FOB韩国
,亚洲PX市场日报（1.12）,1,基准价,711.17-712.17*,2016-01-13 08:18:00,,CFR台湾/中国
,亚洲PX市场日报（1.12）,2,一月下,689.00-691.00,2016-01-13 08:18:00,,FOB韩国
,亚洲PX市场日报（1.12）,2,一月下,710.00-712.00,2016-01-13 08:18:00,,CFR台湾/中国
,亚洲PX市场日报（1.12）,3,二月上,689.00-691.00,2016-01-13 08:18:00,,FOB韩国
,亚洲PX市场日报（1.12）,3,二月上,710.00-712.00,2016-01-13 08:18:00,,CFR台湾/中国
,亚洲PX市场日报（1.12）,4,二月下,689.00-691.00,2016-01-13 08:18:00,,FOB韩国
,亚洲PX市场日报（1.12）,4,二月下,710.00-712.00,2016-01-13 08:18:00,,CFR台湾/中国
,亚洲PX市场日报（1.12）,5,三月上,691.00-693.00,2016-01-13 08:18:00,,FOB韩国
,亚洲PX市场日报（1.12）,5,三月上,712.00-714.00,2016-01-13 08:18:00,,CFR台湾/中国
,亚洲PX市场日报（1.14）,1,基准价,680.17-681.17*,2016-01-15 08:22:00,,FOB韩国
,亚洲PX市场日报（1.14）,1,基准价,701.17-702.17*,2016-01-15 08:22:00,,CFR台湾/中国
,亚洲PX市场日报（1.14）,2,一月下,679.00-681.00,2016-01-15 08:22:00,,FOB韩国
,亚洲PX市场日报（1.14）,2,一月下,700.00-702.00,2016-01-15 08:22:00,,CFR台湾/中国
,亚洲PX市场日报（1.14）,3,二月上,679.00-681.00,2016-01-15 08:22:00,,FOB韩国
