lastday_price,update_dt,currentday_price,source,change_price,unit,datadate,product_name,market
67.04,2018-06-07 09:25:23,65.81,http://www.ccf.com.cn/newscenter/detail-130000-2018060400062.shtml,-1.23,美元/桶,2018-06-04,原油期货,WTI（7月）
77.56,2018-06-07 09:25:23,76.79,http://www.ccf.com.cn/newscenter/detail-130000-2018060400062.shtml,-0.77,美元/桶,2018-06-04,原油期货,Brent（8月）
666-674,2018-06-07 09:25:23,659-665,http://www.ccf.com.cn/newscenter/detail-130000-2018060400062.shtml,-8,美元/吨,2018-06-04,石脑油,CFR日本
74.07-74.11,2018-06-07 09:25:23,73.93-73.97,http://www.ccf.com.cn/newscenter/detail-130000-2018060400062.shtml,-0.14,美元/桶,2018-06-04,石脑油,FOB新加坡
814-815,2018-06-07 09:25:23,825-826,http://www.ccf.com.cn/newscenter/detail-130000-2018060400062.shtml,11,美元/吨,2018-06-04,异构级MX,FOB韩国
835-836,2018-06-07 09:25:23,838-839,http://www.ccf.com.cn/newscenter/detail-130000-2018060400062.shtml,3,美元/吨,2018-06-04,异构级MX,CFR台湾
292.95-293.05,2018-06-07 09:25:23,289.95-290.05,http://www.ccf.com.cn/newscenter/detail-130000-2018060400062.shtml,-3,美分/加仑,2018-06-04,异构级MX,FOB美湾
972-974,2018-06-07 09:25:23,972-974,http://www.ccf.com.cn/newscenter/detail-130000-2018060400062.shtml,0,美元/吨,2018-06-04,PX,FOB韩国
991-993,2018-06-07 09:25:23,991-993,http://www.ccf.com.cn/newscenter/detail-130000-2018060400062.shtml,0,美元/吨,2018-06-04,PX,CFR台湾
944-946,2018-06-07 09:25:24,944-946,http://www.ccf.com.cn/newscenter/detail-130000-2018060400062.shtml,0,美元/吨,2018-06-04,PX,FOB鹿特丹
1005-1015,2018-06-07 09:25:24,975-985,http://www.ccf.com.cn/newscenter/detail-130000-2018060400062.shtml,-30,美元/吨,2018-06-04,PX,FOB美国海湾
856-857,2018-06-07 09:25:24,866-867,http://www.ccf.com.cn/newscenter/detail-130000-2018060400062.shtml,10,美元/吨,2018-06-04,纯苯,FOB韩国
876-877,2018-06-07 09:25:24,886-887,http://www.ccf.com.cn/newscenter/detail-130000-2018060400062.shtml,10,美元/吨,2018-06-04,纯苯,FOB鹿特丹
293.95-294.05,2018-06-07 09:25:24,293.95-294.05,http://www.ccf.com.cn/newscenter/detail-130000-2018060400062.shtml,0,美分/加仑,2018-06-04,纯苯,FOB美湾
848-849,2018-06-07 09:25:24,861-862,http://www.ccf.com.cn/newscenter/detail-130000-2018060400062.shtml,13,美元/吨,2018-06-04,纯苯,CFR中国
768-770,2018-06-07 09:25:24,775-777,http://www.ccf.com.cn/newscenter/detail-130000-2018060400062.shtml,7,美元/吨,2018-06-04,甲苯,FOB韩国
831-835,2018-06-07 09:25:24,823-827,http://www.ccf.com.cn/newscenter/detail-130000-2018060400062.shtml,-8,美元/吨,2018-06-04,甲苯,FOB鹿特丹
787-788,2018-06-07 09:25:24,796-797,http://www.ccf.com.cn/newscenter/detail-130000-2018060400062.shtml,9,美元/吨,2018-06-04,甲苯,CFR中国
304.95-305.05,2018-06-07 09:25:24,299.95-300.0,http://www.ccf.com.cn/newscenter/detail-130000-2018060400062.shtml,-5.025,美分/加仑,2018-06-04,甲苯,FOB美湾
1468-1469,2018-06-07 09:25:24,1492-1493,http://www.ccf.com.cn/newscenter/detail-130000-2018060400062.shtml,24,美元/吨,2018-06-04,苯乙烯,CFR中国
1429-1430,2018-06-07 09:25:24,1454-1455,http://www.ccf.com.cn/newscenter/detail-130000-2018060400062.shtml,25,美元/吨,2018-06-04,苯乙烯,FOB韩国
1375-1376,2018-06-07 09:25:24,1389-1390,http://www.ccf.com.cn/newscenter/detail-130000-2018060400062.shtml,14,美元/吨,2018-06-04,苯乙烯,FOB鹿特丹
60.55-61.05,2018-06-07 09:25:24,61.90-62.40,http://www.ccf.com.cn/newscenter/detail-130000-2018060400062.shtml,1.35,美分/磅,2018-06-04,苯乙烯,FOB美湾
1339-1341,2018-06-07 09:25:24,1334-1336,http://www.ccf.com.cn/newscenter/detail-130000-2018060400062.shtml,-5,美元/吨,2018-06-04,乙烯,CFR东北亚
1219-1221,2018-06-07 09:25:24,1219-1221,http://www.ccf.com.cn/newscenter/detail-130000-2018060400062.shtml,0,美元/吨,2018-06-04,乙烯,CFR东南亚
15.25-15.75,2018-06-07 09:25:24,15.38-15.88,http://www.ccf.com.cn/newscenter/detail-130000-2018060400062.shtml,0.13,美分/磅,2018-06-04,乙烯,FD美湾
1084-1086,2018-06-07 09:25:24,1079-1081,http://www.ccf.com.cn/newscenter/detail-130000-2018060400062.shtml,-5,美元/吨,2018-06-04,丙烯,FOB韩国
1124-1126,2018-06-07 09:25:24,1119-1121,http://www.ccf.com.cn/newscenter/detail-130000-2018060400062.shtml,-5,美元/吨,2018-06-04,丙烯,CFR中国
42.25-42.75,2018-06-07 09:25:24,43.75-44.25,http://www.ccf.com.cn/newscenter/detail-130000-2018060400062.shtml,1.5,美分/磅,2018-06-04,丙烯,FD美湾
1774-1776,2018-06-07 09:25:24,1779-1781,http://www.ccf.com.cn/newscenter/detail-130000-2018060400062.shtml,5,美元/吨,2018-06-04,丁二烯,CFR中国
1734-1736,2018-06-07 09:25:24,1739-1741,http://www.ccf.com.cn/newscenter/detail-130000-2018060400062.shtml,5,美元/吨,2018-06-04,丁二烯,FOB韩国
68.21,2018-06-07 09:25:27,67.04,http://www.ccf.com.cn/newscenter/detail-130000-2018060100003.shtml,-1.17,美元/桶,2018-06-01,原油期货,WTI（7月）
77.5,2018-06-07 09:25:27,77.59,http://www.ccf.com.cn/newscenter/detail-130000-2018060100003.shtml,0.09,美元/桶,2018-06-01,原油期货,Brent（7月）
658-667,2018-06-07 09:25:27,666-674,http://www.ccf.com.cn/newscenter/detail-130000-2018060100003.shtml,7.5,美元/吨,2018-06-01,石脑油,CFR日本
73.36-73.40,2018-06-07 09:25:27,74.07-74.11,http://www.ccf.com.cn/newscenter/detail-130000-2018060100003.shtml,0.71,美元/桶,2018-06-01,石脑油,FOB新加坡
813-814,2018-06-07 09:25:27,814-815,http://www.ccf.com.cn/newscenter/detail-130000-2018060100003.shtml,1,美元/吨,2018-06-01,异构级MX,FOB韩国
838-839,2018-06-07 09:25:27,835-836,http://www.ccf.com.cn/newscenter/detail-130000-2018060100003.shtml,-3,美元/吨,2018-06-01,异构级MX,CFR台湾
292.95-293.05,2018-06-07 09:25:27,292.95-293.05,http://www.ccf.com.cn/newscenter/detail-130000-2018060100003.shtml,0,美分/加仑,2018-06-01,异构级MX,FOB美湾
972-974,2018-06-07 09:25:27,972-974,http://www.ccf.com.cn/newscenter/detail-130000-2018060100003.shtml,0,美元/吨,2018-06-01,PX,FOB韩国
991-993,2018-06-07 09:25:27,991-993,http://www.ccf.com.cn/newscenter/detail-130000-2018060100003.shtml,0,美元/吨,2018-06-01,PX,CFR台湾
944-946,2018-06-07 09:25:27,944-946,http://www.ccf.com.cn/newscenter/detail-130000-2018060100003.shtml,0,美元/吨,2018-06-01,PX,FOB鹿特丹
1005-1015,2018-06-07 09:25:27,1005-1015,http://www.ccf.com.cn/newscenter/detail-130000-2018060100003.shtml,0,美元/吨,2018-06-01,PX,FOB美国海湾
837-838,2018-06-07 09:25:27,856-857,http://www.ccf.com.cn/newscenter/detail-130000-2018060100003.shtml,19,美元/吨,2018-06-01,纯苯,FOB韩国
876-877,2018-06-07 09:25:27,876-877,http://www.ccf.com.cn/newscenter/detail-130000-2018060100003.shtml,0,美元/吨,2018-06-01,纯苯,FOB鹿特丹
294.95-295.05,2018-06-07 09:25:27,293.95-294.05,http://www.ccf.com.cn/newscenter/detail-130000-2018060100003.shtml,-1,美分/加仑,2018-06-01,纯苯,FOB美湾
839-840,2018-06-07 09:25:27,848-849,http://www.ccf.com.cn/newscenter/detail-130000-2018060100003.shtml,9,美元/吨,2018-06-01,纯苯,CFR中国
765-767,2018-06-07 09:25:27,768-770,http://www.ccf.com.cn/newscenter/detail-130000-2018060100003.shtml,3,美元/吨,2018-06-01,甲苯,FOB韩国
835-839,2018-06-07 09:25:27,831-835,http://www.ccf.com.cn/newscenter/detail-130000-2018060100003.shtml,-4,美元/吨,2018-06-01,甲苯,FOB鹿特丹
784-785,2018-06-07 09:25:27,787-788,http://www.ccf.com.cn/newscenter/detail-130000-2018060100003.shtml,3,美元/吨,2018-06-01,甲苯,CFR中国
304.95-305.05,2018-06-07 09:25:27,304.95-305.05,http://www.ccf.com.cn/newscenter/detail-130000-2018060100003.shtml,0,美分/加仑,2018-06-01,甲苯,FOB美湾
1463-1464,2018-06-07 09:25:27,1468-1469,http://www.ccf.com.cn/newscenter/detail-130000-2018060100003.shtml,5,美元/吨,2018-06-01,苯乙烯,CFR中国
1424-1425,2018-06-07 09:25:27,1429-1430,http://www.ccf.com.cn/newscenter/detail-130000-2018060100003.shtml,5,美元/吨,2018-06-01,苯乙烯,FOB韩国
1355-1356,2018-06-07 09:25:27,1375-1376,http://www.ccf.com.cn/newscenter/detail-130000-2018060100003.shtml,20,美元/吨,2018-06-01,苯乙烯,FOB鹿特丹
59.40-59.90,2018-06-07 09:25:27,60.55-61.05,http://www.ccf.com.cn/newscenter/detail-130000-2018060100003.shtml,1.15,美分/磅,2018-06-01,苯乙烯,FOB美湾
1339-1341,2018-06-07 09:25:27,1339-1341,http://www.ccf.com.cn/newscenter/detail-130000-2018060100003.shtml,0,美元/吨,2018-06-01,乙烯,CFR东北亚
1219-1221,2018-06-07 09:25:27,1219-1221,http://www.ccf.com.cn/newscenter/detail-130000-2018060100003.shtml,0,美元/吨,2018-06-01,乙烯,CFR东南亚
15.25-15.75,2018-06-07 09:25:27,15.25-15.75,http://www.ccf.com.cn/newscenter/detail-130000-2018060100003.shtml,0,美分/磅,2018-06-01,乙烯,FD美湾
1084-1086,2018-06-07 09:25:28,1084-1086,http://www.ccf.com.cn/newscenter/detail-130000-2018060100003.shtml,0,美元/吨,2018-06-01,丙烯,FOB韩国
1124-1126,2018-06-07 09:25:28,1124-1126,http://www.ccf.com.cn/newscenter/detail-130000-2018060100003.shtml,0,美元/吨,2018-06-01,丙烯,CFR中国
41.75-42.25,2018-06-07 09:25:28,42.25-42.75,http://www.ccf.com.cn/newscenter/detail-130000-2018060100003.shtml,0.5,美分/磅,2018-06-01,丙烯,FD美湾
1769-1771,2018-06-07 09:25:28,1774-1776,http://www.ccf.com.cn/newscenter/detail-130000-2018060100003.shtml,5,美元/吨,2018-06-01,丁二烯,CFR中国
1729-1731,2018-06-07 09:25:28,1734-1736,http://www.ccf.com.cn/newscenter/detail-130000-2018060100003.shtml,5,美元/吨,2018-06-01,丁二烯,FOB韩国
lastday_price,update_dt,currentday_price,source,change_price,unit,datadate,product_name,market
67.04,2018-06-07 09:26:48,65.81,http://www.ccf.com.cn/newscenter/detail-130000-2018060400062.shtml,-1.23,美元/桶,2018-06-04,原油期货,WTI（7月）
77.56,2018-06-07 09:26:48,76.79,http://www.ccf.com.cn/newscenter/detail-130000-2018060400062.shtml,-0.77,美元/桶,2018-06-04,原油期货,Brent（8月）
666-674,2018-06-07 09:26:48,659-665,http://www.ccf.com.cn/newscenter/detail-130000-2018060400062.shtml,-8,美元/吨,2018-06-04,石脑油,CFR日本
74.07-74.11,2018-06-07 09:26:48,73.93-73.97,http://www.ccf.com.cn/newscenter/detail-130000-2018060400062.shtml,-0.14,美元/桶,2018-06-04,石脑油,FOB新加坡
814-815,2018-06-07 09:26:48,825-826,http://www.ccf.com.cn/newscenter/detail-130000-2018060400062.shtml,11,美元/吨,2018-06-04,异构级MX,FOB韩国
835-836,2018-06-07 09:26:48,838-839,http://www.ccf.com.cn/newscenter/detail-130000-2018060400062.shtml,3,美元/吨,2018-06-04,异构级MX,CFR台湾
292.95-293.05,2018-06-07 09:26:48,289.95-290.05,http://www.ccf.com.cn/newscenter/detail-130000-2018060400062.shtml,-3,美分/加仑,2018-06-04,异构级MX,FOB美湾
972-974,2018-06-07 09:26:48,972-974,http://www.ccf.com.cn/newscenter/detail-130000-2018060400062.shtml,0,美元/吨,2018-06-04,PX,FOB韩国
