lastday_price,update_dt,currentday_price,source,change_price,unit,datadate,product_name,market
68.21,2018-06-06 21:10:58,67.04,http://www.ccf.com.cn/newscenter/detail-130000-2018060100003.shtml,-1.17,美元/桶,2018-06-01,原油期货,WTI（7月）
77.5,2018-06-06 21:11:00,77.59,http://www.ccf.com.cn/newscenter/detail-130000-2018060100003.shtml,0.09,美元/桶,2018-06-01,原油期货,Brent（7月）
658-667,2018-06-06 21:11:00,666-674,http://www.ccf.com.cn/newscenter/detail-130000-2018060100003.shtml,7.5,美元/吨,2018-06-01,石脑油,CFR日本
73.36-73.40,2018-06-06 21:11:00,74.07-74.11,http://www.ccf.com.cn/newscenter/detail-130000-2018060100003.shtml,0.71,美元/桶,2018-06-01,石脑油,FOB新加坡
813-814,2018-06-06 21:11:00,814-815,http://www.ccf.com.cn/newscenter/detail-130000-2018060100003.shtml,1,美元/吨,2018-06-01,异构级MX,FOB韩国
838-839,2018-06-06 21:11:00,835-836,http://www.ccf.com.cn/newscenter/detail-130000-2018060100003.shtml,-3,美元/吨,2018-06-01,异构级MX,CFR台湾
292.95-293.05,2018-06-06 21:11:00,292.95-293.05,http://www.ccf.com.cn/newscenter/detail-130000-2018060100003.shtml,0,美分/加仑,2018-06-01,异构级MX,FOB美湾
972-974,2018-06-06 21:11:00,972-974,http://www.ccf.com.cn/newscenter/detail-130000-2018060100003.shtml,0,美元/吨,2018-06-01,PX,FOB韩国
991-993,2018-06-06 21:11:00,991-993,http://www.ccf.com.cn/newscenter/detail-130000-2018060100003.shtml,0,美元/吨,2018-06-01,PX,CFR台湾
944-946,2018-06-06 21:11:00,944-946,http://www.ccf.com.cn/newscenter/detail-130000-2018060100003.shtml,0,美元/吨,2018-06-01,PX,FOB鹿特丹
1005-1015,2018-06-06 21:11:00,1005-1015,http://www.ccf.com.cn/newscenter/detail-130000-2018060100003.shtml,0,美元/吨,2018-06-01,PX,FOB美国海湾
837-838,2018-06-06 21:11:00,856-857,http://www.ccf.com.cn/newscenter/detail-130000-2018060100003.shtml,19,美元/吨,2018-06-01,纯苯,FOB韩国
876-877,2018-06-06 21:11:00,876-877,http://www.ccf.com.cn/newscenter/detail-130000-2018060100003.shtml,0,美元/吨,2018-06-01,纯苯,FOB鹿特丹
294.95-295.05,2018-06-06 21:11:00,293.95-294.05,http://www.ccf.com.cn/newscenter/detail-130000-2018060100003.shtml,-1,美分/加仑,2018-06-01,纯苯,FOB美湾
839-840,2018-06-06 21:11:00,848-849,http://www.ccf.com.cn/newscenter/detail-130000-2018060100003.shtml,9,美元/吨,2018-06-01,纯苯,CFR中国
765-767,2018-06-06 21:11:00,768-770,http://www.ccf.com.cn/newscenter/detail-130000-2018060100003.shtml,3,美元/吨,2018-06-01,甲苯,FOB韩国
835-839,2018-06-06 21:11:00,831-835,http://www.ccf.com.cn/newscenter/detail-130000-2018060100003.shtml,-4,美元/吨,2018-06-01,甲苯,FOB鹿特丹
784-785,2018-06-06 21:11:00,787-788,http://www.ccf.com.cn/newscenter/detail-130000-2018060100003.shtml,3,美元/吨,2018-06-01,甲苯,CFR中国
304.95-305.05,2018-06-06 21:11:01,304.95-305.05,http://www.ccf.com.cn/newscenter/detail-130000-2018060100003.shtml,0,美分/加仑,2018-06-01,甲苯,FOB美湾
1463-1464,2018-06-06 21:11:01,1468-1469,http://www.ccf.com.cn/newscenter/detail-130000-2018060100003.shtml,5,美元/吨,2018-06-01,苯乙烯,CFR中国
1424-1425,2018-06-06 21:11:01,1429-1430,http://www.ccf.com.cn/newscenter/detail-130000-2018060100003.shtml,5,美元/吨,2018-06-01,苯乙烯,FOB韩国
1355-1356,2018-06-06 21:11:01,1375-1376,http://www.ccf.com.cn/newscenter/detail-130000-2018060100003.shtml,20,美元/吨,2018-06-01,苯乙烯,FOB鹿特丹
59.40-59.90,2018-06-06 21:11:01,60.55-61.05,http://www.ccf.com.cn/newscenter/detail-130000-2018060100003.shtml,1.15,美分/磅,2018-06-01,苯乙烯,FOB美湾
1339-1341,2018-06-06 21:11:01,1339-1341,http://www.ccf.com.cn/newscenter/detail-130000-2018060100003.shtml,0,美元/吨,2018-06-01,乙烯,CFR东北亚
