update_dt,datadate,source,change_price,day_avg_price,product_name
2018-06-07 10:45:23,2018-06-06,http://www.ccf.com.cn/newscenter/detail-140000-2018060600446.shtml,0/0,19000-19500,PTMEG（市场价 高）
2018-06-07 10:45:42,2018-06-06,http://www.ccf.com.cn/newscenter/detail-140000-2018060600456.shtml,35元/吨,6950,CCF内盘MEG现货
2018-06-07 10:45:42,2018-06-06,http://www.ccf.com.cn/newscenter/detail-140000-2018060600456.shtml,5元/吨,6955,CCF内盘MEG期货
2018-06-07 10:45:42,2018-06-06,http://www.ccf.com.cn/newscenter/detail-140000-2018060600456.shtml,35元/吨,6980,CCF内盘宁波MEG现货
2018-06-07 10:45:42,2018-06-06,http://www.ccf.com.cn/newscenter/detail-140000-2018060600456.shtml,25元/吨,7125,CCF内盘华南MEG现货
2018-06-07 10:45:42,2018-06-06,http://www.ccf.com.cn/newscenter/detail-140000-2018060600456.shtml,4美元/吨,902,CCF外盘MEG
2018-06-07 10:45:42,2018-06-06,http://www.ccf.com.cn/newscenter/detail-140000-2018060600456.shtml,0,2.5,CCF接盘指数
2018-06-07 10:45:45,2018-06-05,http://www.ccf.com.cn/newscenter/detail-140000-2018060500402.shtml,-1.06美元/桶,64.75,WTI原油期货
2018-06-07 10:45:45,2018-06-05,http://www.ccf.com.cn/newscenter/detail-140000-2018060500402.shtml,-205元/吨,6915,石油制MEG现货
2018-06-07 10:45:45,2018-06-05,http://www.ccf.com.cn/newscenter/detail-140000-2018060500402.shtml,下降,6900-7000,煤制MEG报价区间(出厂）
2018-06-07 10:45:45,2018-06-06,http://www.ccf.com.cn/newscenter/detail-140000-2018060600364.shtml,0.77美元/桶,65.52,WTI原油期货
2018-06-07 10:45:45,2018-06-06,http://www.ccf.com.cn/newscenter/detail-140000-2018060600364.shtml,35元/吨,6950,石油制MEG现货
2018-06-07 10:45:45,2018-06-06,http://www.ccf.com.cn/newscenter/detail-140000-2018060600364.shtml,下降,6700-6900,煤制MEG报价区间(出厂）
2018-06-07 10:45:46,2018-06-05,http://www.ccf.com.cn/newscenter/detail-140000-2018060500424.shtml,0/0,18500-19000,PTMEG（市场价 低）
2018-06-07 10:45:46,2018-06-05,http://www.ccf.com.cn/newscenter/detail-140000-2018060500424.shtml,0/0,19000-19500,PTMEG（市场价 高）
2018-06-07 10:45:50,2018-06-05,http://www.ccf.com.cn/newscenter/detail-140000-2018060500444.shtml,-205元/吨,6915,CCF内盘MEG现货
2018-06-07 10:45:50,2018-06-05,http://www.ccf.com.cn/newscenter/detail-140000-2018060500444.shtml,-175元/吨,6950,CCF内盘MEG期货
2018-06-07 10:45:50,2018-06-05,http://www.ccf.com.cn/newscenter/detail-140000-2018060500444.shtml,-205元/吨,6945,CCF内盘宁波MEG现货
2018-06-07 10:45:50,2018-06-05,http://www.ccf.com.cn/newscenter/detail-140000-2018060500444.shtml,-100元/吨,7100,CCF内盘华南MEG现货
2018-06-07 10:45:50,2018-06-05,http://www.ccf.com.cn/newscenter/detail-140000-2018060500444.shtml,-25美元/吨,898,CCF外盘MEG
2018-06-07 10:45:50,2018-06-05,http://www.ccf.com.cn/newscenter/detail-140000-2018060500444.shtml,0,2.5,CCF接盘指数
update_dt,datadate,source,change_price,day_avg_price,product_name
2018-06-07 10:48:35,2018-06-06,http://www.ccf.com.cn/newscenter/detail-140000-2018060600456.shtml,35元/吨,6950,CCF内盘MEG现货
2018-06-07 10:48:35,2018-06-06,http://www.ccf.com.cn/newscenter/detail-140000-2018060600456.shtml,5元/吨,6955,CCF内盘MEG期货
2018-06-07 10:48:35,2018-06-06,http://www.ccf.com.cn/newscenter/detail-140000-2018060600456.shtml,35元/吨,6980,CCF内盘宁波MEG现货
2018-06-07 10:48:35,2018-06-06,http://www.ccf.com.cn/newscenter/detail-140000-2018060600456.shtml,25元/吨,7125,CCF内盘华南MEG现货
2018-06-07 10:48:35,2018-06-06,http://www.ccf.com.cn/newscenter/detail-140000-2018060600456.shtml,4美元/吨,902,CCF外盘MEG
2018-06-07 10:48:35,2018-06-06,http://www.ccf.com.cn/newscenter/detail-140000-2018060600456.shtml,0,2.5,CCF接盘指数
