current_week_value,update_dt,source,last_week_value,datadate,product_name
8.1,2018-06-07 15:32:00,http://www.ccf.com.cn/newscenter/detail-160000-2018040800416.shtml,11.3,2018-04-08,宁波
4.4,2018-06-07 15:32:00,http://www.ccf.com.cn/newscenter/detail-160000-2018040800416.shtml,4.6,2018-04-08,上海及嘉兴
42.7,2018-06-07 15:32:00,http://www.ccf.com.cn/newscenter/detail-160000-2018040800416.shtml,44.6,2018-04-08,张家港
16.1,2018-06-07 15:32:00,http://www.ccf.com.cn/newscenter/detail-160000-2018040800416.shtml,17.5,2018-04-08,太仓及常熟
4.2,2018-06-07 15:32:00,http://www.ccf.com.cn/newscenter/detail-160000-2018040800416.shtml,4.7,2018-04-08,江阴及常州
75.5,2018-06-07 15:32:00,http://www.ccf.com.cn/newscenter/detail-160000-2018040800416.shtml,82.7,2018-04-08,总和
7.7,2018-06-07 15:32:04,http://www.ccf.com.cn/newscenter/detail-160000-2018041300309.shtml,8.1,2018-04-13,宁波
3.9,2018-06-07 15:32:04,http://www.ccf.com.cn/newscenter/detail-160000-2018041300309.shtml,4.4,2018-04-13,上海及嘉兴
50.0,2018-06-07 15:32:04,http://www.ccf.com.cn/newscenter/detail-160000-2018041300309.shtml,42.7,2018-04-13,张家港
14.7,2018-06-07 15:32:04,http://www.ccf.com.cn/newscenter/detail-160000-2018041300309.shtml,16.1,2018-04-13,太仓及常熟
3.7,2018-06-07 15:32:04,http://www.ccf.com.cn/newscenter/detail-160000-2018041300309.shtml,4.2,2018-04-13,江阴及常州
80.0,2018-06-07 15:32:05,http://www.ccf.com.cn/newscenter/detail-160000-2018041300309.shtml,75.5,2018-04-13,总和
10.9,2018-06-07 15:32:07,http://www.ccf.com.cn/newscenter/detail-160000-2018042000334.shtml,7.7,2018-04-20,宁波
4.1,2018-06-07 15:32:07,http://www.ccf.com.cn/newscenter/detail-160000-2018042000334.shtml,3.9,2018-04-20,上海及嘉兴
54.9,2018-06-07 15:32:07,http://www.ccf.com.cn/newscenter/detail-160000-2018042000334.shtml,50.0,2018-04-20,张家港
14.8,2018-06-07 15:32:07,http://www.ccf.com.cn/newscenter/detail-160000-2018042000334.shtml,14.7,2018-04-20,太仓及常熟
3.9,2018-06-07 15:32:07,http://www.ccf.com.cn/newscenter/detail-160000-2018042000334.shtml,3.7,2018-04-20,江阴及常州
88.6,2018-06-07 15:32:07,http://www.ccf.com.cn/newscenter/detail-160000-2018042000334.shtml,80.0,2018-04-20,总和
6.7,2018-06-07 15:32:11,http://www.ccf.com.cn/newscenter/detail-160000-2018042700310.shtml,10.9,2018-04-27,宁波
4.9,2018-06-07 15:32:11,http://www.ccf.com.cn/newscenter/detail-160000-2018042700310.shtml,4.1,2018-04-27,上海及嘉兴
64.9,2018-06-07 15:32:11,http://www.ccf.com.cn/newscenter/detail-160000-2018042700310.shtml,54.9,2018-04-27,张家港
12.5,2018-06-07 15:32:11,http://www.ccf.com.cn/newscenter/detail-160000-2018042700310.shtml,14.8,2018-04-27,太仓及常熟
4.2,2018-06-07 15:32:11,http://www.ccf.com.cn/newscenter/detail-160000-2018042700310.shtml,3.9,2018-04-27,江阴及常州
93.2,2018-06-07 15:32:11,http://www.ccf.com.cn/newscenter/detail-160000-2018042700310.shtml,88.6,2018-04-27,总和
7.7,2018-06-07 15:32:13,http://www.ccf.com.cn/newscenter/detail-160000-2018050400340.shtml,6.7,2018-05-04,宁波
5.1,2018-06-07 15:32:13,http://www.ccf.com.cn/newscenter/detail-160000-2018050400340.shtml,4.9,2018-05-04,上海及嘉兴
67.1,2018-06-07 15:32:13,http://www.ccf.com.cn/newscenter/detail-160000-2018050400340.shtml,64.9,2018-05-04,张家港
11.1,2018-06-07 15:32:13,http://www.ccf.com.cn/newscenter/detail-160000-2018050400340.shtml,12.5,2018-05-04,太仓及常熟
4.3,2018-06-07 15:32:13,http://www.ccf.com.cn/newscenter/detail-160000-2018050400340.shtml,4.2,2018-05-04,江阴及常州
95.3,2018-06-07 15:32:13,http://www.ccf.com.cn/newscenter/detail-160000-2018050400340.shtml,93.2,2018-05-04,总和
7.5,2018-06-07 15:32:17,http://www.ccf.com.cn/newscenter/detail-160000-2018051100304.shtml,7.7,2018-05-11,宁波
4.5,2018-06-07 15:32:17,http://www.ccf.com.cn/newscenter/detail-160000-2018051100304.shtml,5.1,2018-05-11,上海及嘉兴
68.3,2018-06-07 15:32:17,http://www.ccf.com.cn/newscenter/detail-160000-2018051100304.shtml,67.1,2018-05-11,张家港
12.5,2018-06-07 15:32:17,http://www.ccf.com.cn/newscenter/detail-160000-2018051100304.shtml,11.1,2018-05-11,太仓及常熟
4.7,2018-06-07 15:32:17,http://www.ccf.com.cn/newscenter/detail-160000-2018051100304.shtml,4.3,2018-05-11,江阴及常州
97.5,2018-06-07 15:32:17,http://www.ccf.com.cn/newscenter/detail-160000-2018051100304.shtml,95.3,2018-05-11,总和
6.6,2018-06-07 15:32:21,http://www.ccf.com.cn/newscenter/detail-160000-2018051800296.shtml,7.5,2018-05-18,宁波
5.3,2018-06-07 15:32:21,http://www.ccf.com.cn/newscenter/detail-160000-2018051800296.shtml,4.5,2018-05-18,上海及嘉兴
70.9,2018-06-07 15:32:21,http://www.ccf.com.cn/newscenter/detail-160000-2018051800296.shtml,68.3,2018-05-18,张家港
11.8,2018-06-07 15:32:21,http://www.ccf.com.cn/newscenter/detail-160000-2018051800296.shtml,12.5,2018-05-18,太仓及常熟
5.8,2018-06-07 15:32:21,http://www.ccf.com.cn/newscenter/detail-160000-2018051800296.shtml,4.7,2018-05-18,江阴及常州
100.4,2018-06-07 15:32:21,http://www.ccf.com.cn/newscenter/detail-160000-2018051800296.shtml,97.5,2018-05-18,总和
7.6,2018-06-07 15:32:23,http://www.ccf.com.cn/newscenter/detail-160000-2018052500352.shtml,6.6,2018-05-25,宁波
5.1,2018-06-07 15:32:23,http://www.ccf.com.cn/newscenter/detail-160000-2018052500352.shtml,5.3,2018-05-25,上海及嘉兴
70.1,2018-06-07 15:32:23,http://www.ccf.com.cn/newscenter/detail-160000-2018052500352.shtml,70.9,2018-05-25,张家港
